name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
op,maximize,20.849998474121094,21.529998779296875,,False,,,3.2613925896435627,9,0,False,False,False,False,False,False,True
tsp,minimize,8.385296821594238,8.385296821594238,7.401462078094482,True,13.292437806464392,13.292437806464392,0.0,0,0,False,False,False,False,False,False,False
aop,maximize,14.430000305175781,17.05000114440918,35.459999084472656,True,59.306258664021115,51.91764922556049,18.15662358852239,8,0,True,False,False,False,False,False,True
cvrp,minimize,20.06951332092285,20.06951332092285,14.08707460345019,True,42.4675731894502,42.4675731894502,0.0,0,0,False,False,False,False,False,False,False
atsp,minimize,2.1698107719421387,2.1698107719421387,,False,,,0.0,0,0,True,False,False,False,False,False,False
cvrpl,minimize,45.23016357421875,43.745479583740234,15.626479440991986,True,189.44564093924595,179.9445630023702,3.282508558790151,10,0,False,False,False,False,False,False,False
cvrpb,minimize,20.902843475341797,20.902843475341797,11.85424011142921,True,76.3322092251904,76.3322092251904,0.0,0,0,False,False,False,False,False,False,False
ocvrp,minimize,13.715575218200684,13.715575218200684,9.542573943339816,True,43.7303530435139,43.7303530435139,0.0,0,0,False,False,False,False,True,False,False
acvrp,minimize,3.193592071533203,3.193592071533203,2.0503149032592773,True,55.76105243426356,55.76105243426356,0.0,0,0,True,False,False,False,False,False,False
pctsp,minimize,27.41425323486328,27.41425323486328,,False,,,0.0,0,0,False,False,False,False,False,False,True
pdtsp,minimize,13.876790046691895,13.876790046691895,,False,,,0.0,0,0,False,False,False,False,False,True,False
cvrptw,minimize,32.86002731323242,32.86002731323242,22.168104392328274,True,48.231110480534845,48.231110480534845,0.0,0,0,False,True,False,False,False,False,False
cvrpbl,minimize,43.76880645751953,42.00777816772461,11.073374289478942,True,295.2616909111909,279.3584238151972,4.023477979697971,10,0,False,False,False,False,False,False,False
cvrpbp,minimize,20.373563766479492,20.373563766479492,15.517189979553223,True,31.29673473950788,31.29673473950788,0.0,0,0,False,False,False,True,False,False,False
ocvrpl,minimize,15.406885147094727,15.406885147094727,10.812519663715992,True,42.49116418993652,42.49116418993652,0.0,0,0,False,False,False,False,True,False,False
ocvrpb,minimize,15.452154159545898,15.452154159545898,8.603693231115471,True,79.59908314330406,79.59908314330406,0.0,0,0,False,False,False,False,True,False,False
acvrpl,minimize,4.220799446105957,4.220799446105957,1.9813300371170044,True,113.02859024171268,113.02859024171268,0.0,0,0,True,False,False,False,False,False,False
acvrpb,minimize,2.787674903869629,2.787674903869629,2.279710054397583,True,22.28199364617341,22.28199364617341,0.0,0,0,True,False,False,False,False,False,False
aocvrp,minimize,2.7852208614349365,2.7852208614349365,1.4667799472808838,True,89.88675612849617,89.88675612849617,0.0,0,0,True,False,False,False,True,False,False
mdcvrp,minimize,19.09787368774414,19.09787368774414,11.84113883972168,True,61.28409561147436,61.28409561147436,0.0,0,0,False,False,True,False,False,False,False
pdcvrp,minimize,39.68134689331055,39.358150482177734,23.626556396484375,True,67.95230852692151,66.58437150847008,0.8144794379126701,8,0,False,False,False,False,False,True,False
spctsp,minimize,26.34110450744629,26.34110450744629,,False,,,0.0,0,0,False,False,False,False,False,False,True
apctsp,minimize,4.254070281982422,4.178295612335205,1.6372369527816772,True,159.83229090662329,155.20408669229283,1.7812274980070466,9,0,True,False,False,False,False,False,True
apdtsp,minimize,2.932021379470825,2.893305540084839,2.094641923904419,True,39.977212620929905,38.128885279432794,1.3204487408265015,8,0,True,False,False,False,False,True,False
cvrpltw,minimize,53.84486389160156,53.1750602722168,23.951826637596405,True,124.80483307725277,122.00837154002122,1.2439508078861317,9,0,False,True,False,False,False,False,False
cvrpbtw,minimize,30.456668853759766,30.456668853759766,20.63193178877529,True,47.61908465754806,47.61908465754806,0.0,0,0,False,True,False,False,False,False,False
cvrpbpl,minimize,52.24181365966797,49.61448669433594,15.336819648742676,True,240.6300318850707,223.4991858198148,5.029164918446152,8,0,False,False,False,True,False,False,False
ocvrptw,minimize,19.377361297607422,19.377361297607422,13.645712060799355,True,42.003298994367846,42.003298994367846,0.0,0,0,False,True,False,False,True,False,False
ocvrpbl,minimize,13.865439414978027,13.72360610961914,8.318098510488008,True,66.69001211629755,64.98489519348095,1.0229268695637042,8,0,False,False,False,False,True,False,False
ocvrpbp,minimize,16.41386604309082,16.41386604309082,11.332929611206055,True,44.83338912526829,44.83338912526829,0.0,0,0,False,False,False,True,True,False,False
acvrptw,minimize,5.529571056365967,5.529571056365967,4.012589931488037,True,37.80553584540769,37.80553584540769,0.0,0,0,True,True,False,False,False,False,False
acvrpbl,minimize,4.4638671875,4.458057880401611,2.1917500495910645,True,103.66679988591154,103.40174652823177,0.13014067969262744,8,0,True,False,False,False,False,False,False
