name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
op,maximize,20.849998474121094,25.029998779296875,,False,,,20.047964561551286,2,0,False,False,False,False,False,False,True
tsp,minimize,8.385296821594238,7.9512939453125,7.401462078094482,True,13.292437806464392,7.428692620682488,5.175760447311444,10,8,False,False,False,False,False,False,False
aop,maximize,14.430000305175781,32.880001068115234,35.459999084472656,True,59.306258664021115,7.2757983163264095,127.85863044175937,10,8,True,False,False,False,False,False,True
cvrp,minimize,20.06951332092285,17.114559173583984,14.08707460345019,True,42.4675731894502,21.49122266586354,14.723596432496802,8,8,False,False,False,False,False,False,False
atsp,minimize,2.1698107719421387,2.026808023452759,,False,,,6.5905631190770615,8,3,True,False,False,False,False,False,False
cvrpl,minimize,45.23016357421875,32.16064453125,15.626479440991986,True,189.44564093924595,105.80863816890805,28.89558208544351,9,8,False,False,False,False,False,False,False
cvrpb,minimize,20.902843475341797,17.67367935180664,11.85424011142921,True,76.3322092251904,49.091626166460436,15.448444262353423,9,8,False,False,False,False,False,False,False
ocvrp,minimize,13.715575218200684,12.347968101501465,9.542573943339816,True,43.7303530435139,29.398715428552247,9.971197670837697,9,8,False,False,False,False,True,False,False
acvrp,minimize,3.193592071533203,2.7582428455352783,2.0503149032592773,True,55.76105243426356,34.52776649824109,13.631961009626353,8,8,True,False,False,False,False,False,False
pctsp,minimize,27.41425323486328,16.396251678466797,,False,,,40.19077762944372,10,8,False,False,False,False,False,False,True
pdtsp,minimize,13.876790046691895,12.539345741271973,,False,,,9.637994816666962,9,8,False,False,False,False,False,True,False
cvrptw,minimize,32.86002731323242,29.464733123779297,22.168104392328274,True,48.231110480534845,32.914987237141354,10.33259697896195,8,8,False,True,False,False,False,False,False
cvrpbl,minimize,43.76880645751953,30.50847816467285,11.073374289478942,True,295.2616909111909,175.51202882810196,30.296298588166188,9,8,False,False,False,False,False,False,False
cvrpbp,minimize,20.373563766479492,17.91196632385254,15.517189979553223,True,31.29673473950788,15.433054228599886,12.082311523117056,8,8,False,False,False,True,False,False,False
ocvrpl,minimize,15.406885147094727,13.425680160522461,10.812519663715992,True,42.49116418993652,24.167914399966886,12.859218249873571,8,8,False,False,False,False,True,False,False
ocvrpb,minimize,15.452154159545898,12.481194496154785,8.603693231115471,True,79.59908314330406,45.06786981916363,19.22683162952875,8,8,False,False,False,False,True,False,False
acvrpl,minimize,4.220799446105957,3.569936990737915,1.9813300371170044,True,113.02859024171268,80.17881543513379,15.420359665951846,9,8,True,False,False,False,False,False,False
acvrpb,minimize,2.787674903869629,2.626077651977539,2.279710054397583,True,22.28199364617341,15.193493440615818,5.796847102500129,9,8,True,False,False,False,False,False,False
aocvrp,minimize,2.7852208614349365,2.4359946250915527,1.4667799472808838,True,89.88675612849617,66.07771531151614,12.538547343906636,9,8,True,False,False,False,True,False,False
mdcvrp,minimize,19.09787368774414,17.269023895263672,11.84113883972168,True,61.28409561147436,45.839214698960255,9.576195875953006,9,5,False,False,True,False,False,False,False
pdcvrp,minimize,39.68134689331055,27.118419647216797,23.626556396484375,True,67.95230852692151,14.779399892791867,31.659528291393755,9,8,False,False,False,False,False,True,False
spctsp,minimize,26.34110450744629,17.20418357849121,,False,,,34.68693169784201,8,8,False,False,False,False,False,False,True
apctsp,minimize,4.254070281982422,2.8998427391052246,1.6372369527816772,True,159.83229090662329,77.11808508709575,31.833689927805313,9,8,True,False,False,False,False,False,True
apdtsp,minimize,2.932021379470825,2.5214297771453857,2.094641923904419,True,39.977212620929905,20.375217757765153,14.003704243096054,8,8,True,False,False,False,False,True,False
cvrpltw,minimize,53.84486389160156,44.12857437133789,23.951826637596405,True,124.80483307725277,84.23886845469522,18.04496997118265,9,8,False,True,False,False,False,False,False
cvrpbtw,minimize,30.456668853759766,27.758634567260742,20.63193178877529,True,47.61908465754806,34.542101299320414,8.85859940709163,8,8,False,True,False,False,False,False,False
cvrpbpl,minimize,52.24181365966797,37.13321304321289,15.336819648742676,True,240.6300318850707,142.11807854346844,28.920513202089133,10,8,False,False,False,True,False,False,False
ocvrptw,minimize,19.377361297607422,17.55536460876465,13.645712060799355,True,42.003298994367846,28.651143528059098,9.402707937678494,10,8,False,True,False,False,True,False,False
ocvrpbl,minimize,13.865439414978027,11.940213203430176,8.318098510488008,True,66.69001211629755,43.54498432995433,13.885071752346642,9,8,False,False,False,False,True,False,False
ocvrpbp,minimize,16.41386604309082,14.018552780151367,11.332929611206055,True,44.83338912526829,23.69751918594602,14.5932302399149,8,8,False,False,False,True,True,False,False
acvrptw,minimize,5.529571056365967,5.034949779510498,4.012589931488037,True,37.80553584540769,25.47880210732939,8.94502072246692,9,8,True,True,False,False,False,False,False
acvrpbl,minimize,4.4638671875,3.6910481452941895,2.1917500495910645,True,103.66679988591154,68.40643603420304,17.312769617561802,9,8,True,False,False,False,False,False,False
acvrpbp,minimize,4.4284348487854,3.7875924110412598,2.3657898902893066,True,87.18631214726588,60.09842744649164,14.471081987802222,8,8,True,False,False,True,False,False,False
aocvrpl,minimize,3.6137895584106445,3.079508066177368,1.8884999752044678,True,91.35767041878727,63.06635459944605,14.784521444803083,9,8,True,False,False,False,True,False,False
aocvrpb,minimize,3.4707369804382324,2.786485433578491,1.6071399450302124,True,115.95735898238698,73.38163003136037,19.714877581226112,9,8,True,False,False,False,True,False,False
mdcvrpl,minimize,34.15428161621094,27.615962982177734,12.089630126953125,True,182.5089043879511,128.4268641156321,19.143481650423194,8,8,False,False,True,False,False,False,False
mdcvrpb,minimize,16.58195686340332,15.006621360778809,9.88378620147705,True,67.76927915463492,51.83069579688188,9.500299123930938,8,8,False,False,True,False,False,False,False
mdocvrp,minimize,11.104016304016113,9.399162292480469,7.77411413192749,True,42.83320408704904,20.90332265484851,15.353489808178967,8,8,False,False,True,False,True,False,False
amdcvrp,minimize,3.3750956058502197,2.7371301651000977,1.9274300336837769,True,75.10859262681561,42.00931381508004,18.902144272426096,8,8,True,False,True,False,False,False,False
apdcvrp,minimize,4.803036212921143,3.5301153659820557,3.0491409301757812,True,57.5209648523609,15.774096600334786,26.5024203547471,8,8,True,False,False,False,False,True,False
opdcvrp,minimize,38.646854400634766,27.174562454223633,22.051122665405273,True,75.26025766146398,23.234371630684485,29.684930699619123,8,8,False,False,False,False,True,True,False
aspctsp,minimize,4.371354103088379,3.0091559886932373,,False,,,31.16192562466498,9,8,True,False,False,False,False,False,True
cvrpbltw,minimize,48.085533142089844,38.405845642089844,18.491065429363715,True,160.0473905940015,107.69947404491664,20.130144905323412,9,8,False,True,False,False,False,False,False
cvrpbptw,minimize,47.43738555908203,41.60057830810547,28.957300186157227,True,63.818399001710254,43.661798719730946,12.304234692080513,9,8,False,True,False,True,False,False,False
ocvrpltw,minimize,20.48570442199707,19.124168395996094,14.80633789869914,True,38.35767197908479,29.162042139240334,6.646273898880387,8,8,False,True,False,False,True,False,False
ocvrpbtw,minimize,19.30362892150879,16.448692321777344,11.315462161252785,True,70.59514358688463,45.364741513626655,14.789636763843786,9,8,False,True,False,False,True,False,False
ocvrpbpl,minimize,14.61569881439209,12.680562019348145,10.130979537963867,True,44.267380657740084,25.16619910078996,13.240125016385907,10,8,False,False,False,True,True,False,False
acvrpltw,minimize,6.2747087478637695,5.765426158905029,3.934109926223755,True,59.49500307650762,46.549696552050975,8.116433916269436,8,8,True,True,False,False,False,False,False
acvrpbtw,minimize,5.564085960388184,4.959351539611816,3.8774900436401367,True,43.4971050284037,27.901077341156554,10.86853123912157,9,5,True,True,False,False,False,False,False
acvrpbpl,minimize,4.608817100524902,3.897559642791748,2.39411997795105,True,92.50568655582784,62.797173019180974,15.43253815935001,9,8,True,False,False,True,False,False,False
aocvrptw,minimize,3.520071506500244,2.997008800506592,2.197279930114746,True,60.20132247402903,36.39631252400701,14.859434106033154,8,8,True,True,False,False,True,False,False
aocvrpbl,minimize,3.7070980072021484,2.9204928874969482,1.85030996799469,True,100.35010735092074,57.838034600337274,21.218891925084908,8,8,True,False,False,False,True,False,False
aocvrpbp,minimize,3.5605762004852295,2.768179416656494,1.684209942817688,True,111.40928514697967,64.3607098070756,22.254734605054903,8,8,True,False,False,True,True,False,False
mdcvrptw,minimize,26.87939453125,23.57202911376953,16.06063461303711,True,67.36197030116628,46.768976953345906,12.304463977547277,9,8,False,True,True,False,False,False,False
mdcvrpbl,minimize,52.50718307495117,37.85847473144531,11.144113540649414,True,371.1651840536736,239.71723810379575,27.898484522766374,10,8,False,False,True,False,False,False,False
mdcvrpbp,minimize,18.81113052368164,15.127403259277344,11.54989242553711,True,62.86844786614416,30.974408262281873,19.582700039036954,8,8,False,False,True,True,False,False,False
mdocvrpl,minimize,12.464228630065918,10.348085403442383,7.678080081939697,True,62.335225695081654,34.77438751626263,16.97773114911439,9,8,False,False,True,False,True,False,False
mdocvrpb,minimize,12.465832710266113,10.724492073059082,7.40138578414917,True,68.4256580296487,44.89843369638543,13.968907474371667,8,8,False,False,True,False,True,False,False
amdcvrpl,minimize,4.4819207191467285,3.760629415512085,2.0546700954437256,True,118.13335041403886,83.02838123995478,16.093352578801607,10,8,True,False,True,False,False,False,False
amdcvrpb,minimize,2.649064540863037,2.4938530921936035,2.0909199714660645,True,26.69373180292622,19.270614190222663,5.859104082789441,9,8,True,False,True,False,False,False,False
amdocvrp,minimize,3.5000815391540527,2.898726463317871,1.6141999959945679,True,116.83072406387438,79.57666153578815,17.181173327222695,9,8,True,False,True,False,True,False,False
aopdcvrp,minimize,4.777169227600098,3.6474785804748535,2.8953630924224854,True,64.99378748394376,25.976551611808034,23.64769999351197,9,8,True,False,False,False,True,True,False
cvrpbpltw,minimize,52.44989776611328,42.3121223449707,24.263469696044922,True,116.16816730322334,74.38611573293579,19.328494149501225,8,8,False,True,False,True,False,False,False
ocvrpbltw,minimize,19.465042114257812,17.28782081604004,12.158860347542328,True,60.089363294581176,42.18290466288996,11.185289430342388,10,8,False,True,False,False,True,False,False
ocvrpbptw,minimize,23.452228546142578,18.787124633789062,15.587929725646973,True,50.45120781854949,20.523539459370436,19.891942905020134,8,8,False,True,False,True,True,False,False
acvrpbltw,minimize,6.713021278381348,6.1096696853637695,4.355629920959473,True,54.12285708843191,40.27063355322692,8.987780136502995,8,8,True,True,False,False,False,False,False
acvrpbptw,minimize,5.624093055725098,5.096352577209473,4.041339874267578,True,39.16407010297212,26.10551786696973,9.383565906300335,8,8,True,True,False,True,False,False,False
aocvrpltw,minimize,4.047970294952393,3.5137712955474854,2.6610701084136963,True,52.11813781807682,32.043544604020106,13.196712438108191,8,8,True,True,False,False,True,False,False
aocvrpbtw,minimize,4.809196472167969,4.230050086975098,3.206279993057251,True,49.993028761730365,31.93015257977086,12.042477127822435,8,8,True,True,False,False,True,False,False
aocvrpbpl,minimize,3.571753740310669,3.0463125705718994,2.011620044708252,True,77.55608220878936,51.43578324274007,14.711013354830754,8,8,True,False,False,True,True,False,False
mdcvrpltw,minimize,39.349571228027344,33.67009735107422,15.039703369140625,True,161.63794765239305,123.87474356815152,14.433381863403461,9,8,False,True,True,False,False,False,False
mdcvrpbtw,minimize,31.160255432128906,27.452964782714844,16.96717071533203,True,83.65027354838594,61.80048661800487,11.897497623179067,8,8,False,True,True,False,False,False,False
mdcvrpbpl,minimize,46.03827667236328,31.719100952148438,11.554325103759766,True,298.4505910897597,174.52145120814606,31.102762212666896,9,8,False,False,True,True,False,False,False
mdocvrptw,minimize,15.792774200439453,13.768850326538086,10.90636920928955,True,44.80322367032912,26.245958323237428,12.815505675026046,9,8,False,True,True,False,True,False,False
mdocvrpbl,minimize,12.014026641845703,10.398100852966309,7.207280158996582,True,66.69293237961669,44.272189003042186,13.45032633148166,9,8,False,False,True,False,True,False,False
mdocvrpbp,minimize,15.474156379699707,13.009194374084473,9.020671844482422,True,71.54106308794083,44.215359990527396,15.929540487576938,8,8,False,False,True,True,True,False,False
amdcvrptw,minimize,4.503026962280273,4.127952575683594,3.354909896850586,True,34.22199405437028,23.0421293745832,8.32938353997212,8,8,True,True,True,False,False,False,False
amdcvrpbl,minimize,3.9489221572875977,3.293567180633545,2.029139995574951,True,94.6106313955278,62.31345238948492,16.595793752090504,9,8,True,False,True,False,False,False,False
amdcvrpbp,minimize,3.896819829940796,3.234276294708252,2.13319993019104,True,82.67485268442765,51.61618228717101,17.002159816113693,8,8,True,False,True,True,False,False,False
amdocvrpl,minimize,3.121278762817383,2.443035364151001,1.473230004310608,True,111.86635852410383,65.82850994093144,21.729664352509612,9,8,True,False,True,False,True,False,False
amdocvrpb,minimize,3.2034504413604736,2.669065237045288,1.539430022239685,True,108.09328095991265,73.38009513171116,16.681550537371116,9,8,True,False,True,False,True,False,False
ocvrpbpltw,minimize,20.199501037597656,18.39132308959961,15.567480087280273,True,29.754468445423417,18.13937121799574,8.951597094564148,8,8,False,True,False,True,True,False,False
acvrpbpltw,minimize,6.957699298858643,6.165365695953369,4.274040222167969,True,62.78974780750687,44.25146642223321,11.387867869415537,8,8,True,True,False,True,False,False,False
aocvrpbltw,minimize,4.277169227600098,3.4073469638824463,2.726140022277832,True,56.89470066274512,24.98796598992851,20.33640048901467,8,8,True,True,False,False,True,False,False
aocvrpbptw,minimize,4.133709907531738,3.697227954864502,2.9010000228881836,True,42.492584450802276,27.446670999457908,10.55908523895094,9,8,True,True,False,True,True,False,False
mdcvrpbltw,minimize,52.020694732666016,42.293941497802734,16.33831787109375,True,218.39688236634575,158.86350009526052,18.69785339247966,9,8,False,True,True,False,False,False,False
mdcvrpbptw,minimize,27.209190368652344,23.33993148803711,16.943025588989258,True,60.59227571688698,37.75539301082683,14.220411663086455,8,8,False,True,True,True,False,False,False
mdocvrpltw,minimize,14.791386604309082,12.49388313293457,9.88421630859375,True,49.64652879408187,26.402364566545018,15.53271192779989,8,8,False,True,True,False,True,False,False
mdocvrpbtw,minimize,17.388416290283203,15.157479286193848,10.510350227355957,True,65.44088364463123,44.21478788349519,12.830018368815004,8,8,False,True,True,False,True,False,False
mdocvrpbpl,minimize,12.517395973205566,10.252103805541992,8.08454704284668,True,54.831135335913885,26.811109530412057,18.09715193569496,9,8,False,False,True,True,True,False,False
amdcvrpltw,minimize,5.999233722686768,5.276051998138428,3.8935599327087402,True,54.08093945822776,35.50714742608035,12.054568266169527,9,8,True,True,True,False,False,False,False
amdcvrpbtw,minimize,5.320703983306885,4.647377967834473,3.578700065612793,True,48.6770024242253,29.86218131243939,12.654829465892059,9,8,True,True,True,False,False,False,False
amdcvrpbpl,minimize,4.766524791717529,3.9031903743743896,2.392819881439209,True,99.20115294472596,63.120943814071715,18.112449951866356,9,8,True,False,True,True,False,False,False
amdocvrptw,minimize,3.4183175563812256,2.653346061706543,1.9101699590682983,True,78.95358159901849,38.90628156463811,22.378596548078274,9,8,True,True,True,False,True,False,False
amdocvrpbl,minimize,3.244565486907959,2.7447476387023926,1.5236300230026245,True,112.94969499970074,80.14528443678907,15.404769921345867,9,8,True,False,True,False,True,False,False
amdocvrpbp,minimize,3.778132677078247,2.9360852241516113,1.7706600427627563,True,113.37425512710143,65.81868643573416,22.287397635220646,8,8,True,False,True,True,True,False,False
aocvrpbpltw,minimize,4.88510274887085,4.262485027313232,3.575939893722534,True,36.61031488383,19.199012119748144,12.745232875634601,8,8,True,True,False,True,True,False,False
mdcvrpbpltw,minimize,49.97146224975586,38.47089767456055,17.7119197845459,True,182.13464637163293,117.2034321662149,23.014264657127377,9,8,False,True,True,True,False,False,False
mdocvrpbltw,minimize,16.494403839111328,13.57018756866455,10.192261695861816,True,61.83261705111299,33.14206378918051,17.72853568379908,10,8,False,True,True,False,True,False,False
mdocvrpbptw,minimize,16.718029022216797,14.332978248596191,10.998909950256348,True,51.99714424270885,30.31271565471938,14.26633947369682,10,8,False,True,True,True,True,False,False
amdcvrpbltw,minimize,7.279699802398682,6.529969215393066,4.65995979309082,True,56.21808182105068,40.129303799463074,10.298921759913464,9,8,True,True,True,False,False,False,False
amdcvrpbptw,minimize,4.918285369873047,4.28277063369751,3.1462199687957764,True,56.323633396667205,36.12432303443649,12.921469341091555,9,8,True,True,True,True,False,False,False
amdocvrpltw,minimize,3.429492473602295,2.579833507537842,1.8495899438858032,True,85.41907004518389,39.48137618643568,24.775064316498767,8,8,True,True,True,False,True,False,False
amdocvrpbtw,minimize,3.5619850158691406,2.945261240005493,2.1618199348449707,True,64.7678864671298,36.23989641934285,17.314047451520906,8,8,True,True,True,False,True,False,False
amdocvrpbpl,minimize,3.5953965187072754,2.822511911392212,1.6517200469970703,True,117.67590247777943,70.88319031567814,21.496505414455765,8,8,True,False,True,True,True,False,False
mdocvrpbpltw,minimize,17.630170822143555,15.041182518005371,11.175503730773926,True,57.75728098587132,34.590644684646705,14.684987061420898,8,8,False,True,True,True,True,False,False
amdcvrpbpltw,minimize,6.736509323120117,5.900883674621582,3.870919942855835,True,74.02863976954652,52.44137728842069,12.404430965910135,8,8,True,True,True,True,False,False,False
amdocvrpbltw,minimize,3.2829272747039795,2.4633748531341553,1.474560022354126,True,122.63775125700249,67.05829642671259,24.964074832992548,8,8,True,True,True,False,True,False,False
amdocvrpbptw,minimize,3.6304080486297607,2.9822607040405273,2.2038800716400146,True,64.72802197118635,35.31864743535167,17.85329185885499,10,8,True,True,True,True,True,False,False
amdocvrpbpltw,minimize,3.6634716987609863,2.8799476623535156,1.921470046043396,True,90.65983913226444,49.88251668475255,21.38747343598872,9,8,True,True,True,True,True,False,False
