name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
op,maximize,20.849998474121094,26.169998168945312,,False,,,25.515587933626826,2,2,40,2,False,False,False,False,False,False,True
tsp,minimize,8.385296821594238,7.921699523925781,7.401462078094482,True,13.292437806464392,7.028847008093226,5.528692752707071,8,8,9,0,False,False,False,False,False,False,False
aop,maximize,14.430000305175781,34.79000473022461,35.459999084472656,True,59.306258664021115,1.88943703199763,141.09496877658458,9,8,18,3,True,False,False,False,False,False,True
cvrp,minimize,20.06951332092285,17.54825782775879,14.08707460345019,True,42.4675731894502,24.569921873352538,12.562614014838145,8,8,15,5,False,False,False,False,False,False,False
atsp,minimize,2.1698107719421387,1.8694289922714233,,False,,,13.843685521104302,9,8,26,7,True,False,False,False,False,False,False
cvrpl,minimize,45.23016357421875,28.02107048034668,15.626479440991986,True,189.44564093924595,79.31787250070367,38.047824137609965,10,8,9,0,False,False,False,False,False,False,False
cvrpb,minimize,20.902843475341797,18.532283782958984,11.85424011142921,True,76.3322092251904,56.33464151861721,11.340847933819443,8,8,19,3,False,False,False,False,False,False,False
ocvrp,minimize,13.715575218200684,11.865946769714355,9.542573943339816,True,43.7303530435139,24.347443783719633,13.48560610153525,9,8,13,1,False,False,False,False,True,False,False
acvrp,minimize,3.193592071533203,2.836958885192871,2.0503149032592773,True,55.76105243426356,38.366983563505656,11.167149039455028,9,8,9,0,True,False,False,False,False,False,False
pctsp,minimize,27.41425323486328,16.308834075927734,,False,,,40.50965409779083,9,8,8,0,False,False,False,False,False,False,True
pdtsp,minimize,13.876790046691895,12.289841651916504,,False,,,11.43599052400238,8,8,11,0,False,False,False,False,False,True,False
cvrptw,minimize,32.86002731323242,28.569843292236328,22.168104392328274,True,48.231110480534845,28.878152081075125,13.055935651241764,8,8,12,0,False,True,False,False,False,False,False
cvrpbl,minimize,43.76880645751953,28.695802688598633,11.073374289478942,True,295.2616909111909,159.14235298506213,34.43777655566237,9,8,8,0,False,False,False,False,False,False,False
cvrpbp,minimize,20.373563766479492,18.10968017578125,15.517189979553223,True,31.29673473950788,16.707214383816364,11.111868383198608,10,8,9,0,False,False,False,True,False,False,False
ocvrpl,minimize,15.406885147094727,13.188568115234375,10.812519663715992,True,42.49116418993652,21.97497461661766,14.398218787777871,9,8,13,0,False,False,False,False,True,False,False
ocvrpb,minimize,15.452154159545898,12.761962890625,8.603693231115471,True,79.59908314330406,48.331217162311674,17.4098138107105,8,8,9,0,False,False,False,False,True,False,False
acvrpl,minimize,4.220799446105957,3.5333545207977295,1.9813300371170044,True,113.02859024171268,78.33245620901434,16.28707864673488,9,8,11,0,True,False,False,False,False,False,False
acvrpb,minimize,2.787674903869629,2.4046623706817627,2.279710054397583,True,22.28199364617341,5.481061771129422,13.739497839443137,8,8,20,8,True,False,False,False,False,False,False
aocvrp,minimize,2.7852208614349365,2.3197882175445557,1.4667799472808838,True,89.88675612849617,58.155163073027985,16.71079842661352,8,8,8,0,True,False,False,False,True,False,False
mdcvrp,minimize,19.09787368774414,16.762758255004883,11.84113883972168,True,61.28409561147436,41.56373370755007,12.227096434498849,8,8,24,4,False,False,True,False,False,False,False
