name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
op,maximize,20.849998474121094,27.53999900817871,,False,,,32.08633584487409,6,6,45,9,False,False,False,False,False,False,True
tsp,minimize,8.385296821594238,7.921699523925781,7.401462078094482,True,13.292437806464392,7.028847008093226,5.528692752707071,8,8,9,0,False,False,False,False,False,False,False
aop,maximize,14.430000305175781,25.160001754760742,35.459999084472656,True,59.306258664021115,29.046806530297154,74.35898283201216,9,8,10,0,True,False,False,False,False,False,True
cvrp,minimize,20.06951332092285,17.54825782775879,14.08707460345019,True,42.4675731894502,24.569921873352538,12.562614014838145,8,8,15,5,False,False,False,False,False,False,False
atsp,minimize,2.1698107719421387,1.9857873916625977,,False,,,8.481079671054758,9,8,10,0,True,False,False,False,False,False,False
cvrpl,minimize,45.23016357421875,37.152435302734375,15.626479440991986,True,189.44564093924595,137.75307447226191,17.859162189916752,8,8,8,0,False,False,False,False,False,False,False
cvrpb,minimize,20.902843475341797,18.532283782958984,11.85424011142921,True,76.3322092251904,56.33464151861721,11.340847933819443,8,8,19,3,False,False,False,False,False,False,False
ocvrp,minimize,13.715575218200684,12.346694946289062,9.542573943339816,True,43.7303530435139,29.385373585775216,9.980480221457322,8,8,13,3,False,False,False,False,True,False,False
acvrp,minimize,3.193592071533203,3.0077707767486572,2.0503149032592773,True,55.76105243426356,46.6979912191714,5.818567012390391,9,8,10,0,True,False,False,False,False,False,False
pctsp,minimize,27.41425323486328,20.588701248168945,,False,,,24.897822049787365,8,8,8,0,False,False,False,False,False,False,True
pdtsp,minimize,13.876790046691895,12.982636451721191,,False,,,6.443518940346449,8,8,20,12,False,False,False,False,False,True,False
cvrptw,minimize,32.86002731323242,30.319093704223633,22.168104392328274,True,48.231110480534845,36.768995524561745,7.73259737366554,8,8,12,3,False,True,False,False,False,False,False
cvrpbl,minimize,43.76880645751953,35.390586853027344,11.073374289478942,True,295.2616909111909,219.6007461488295,19.141987827846744,8,8,8,0,False,False,False,False,False,False,False
cvrpbp,minimize,20.373563766479492,18.82383155822754,15.517189979553223,True,31.29673473950788,21.30953853778571,7.606583835871261,8,8,9,0,False,False,False,True,False,False,False
ocvrpl,minimize,15.406885147094727,14.424361228942871,10.812519663715992,True,42.49116418993652,33.40425430482481,6.377174287802942,8,3,9,3,False,False,False,False,True,False,False
ocvrpb,minimize,15.452154159545898,13.602262496948242,8.603693231115471,True,79.59908314330406,58.097948538603404,11.971739626056255,8,8,9,0,False,False,False,False,True,False,False
acvrpl,minimize,4.220799446105957,3.9002063274383545,1.9813300371170044,True,113.02859024171268,96.84788775087014,7.5955544147774345,9,8,9,0,True,False,False,False,False,False,False
acvrpb,minimize,2.787674903869629,2.7414276599884033,2.279710054397583,True,22.28199364617341,20.25334777552797,1.6589898562787517,8,8,11,0,True,False,False,False,False,False,False
aocvrp,minimize,2.7852208614349365,2.5965912342071533,1.4667799472808838,True,89.88675612849617,77.02663845525795,6.772519545563142,10,8,10,0,True,False,False,False,True,False,False
mdcvrp,minimize,19.09787368774414,16.762758255004883,11.84113883972168,True,61.28409561147436,41.56373370755007,12.227096434498849,8,8,24,4,False,False,True,False,False,False,False
pdcvrp,minimize,39.68134689331055,31.326152801513672,23.626556396484375,True,67.95230852692151,32.5887373336175,21.05572201029645,9,8,8,0,False,False,False,False,False,True,False
spctsp,minimize,26.34110450744629,19.5203857421875,,False,,,25.89382219462612,8,8,8,0,False,False,False,False,False,False,True
apctsp,minimize,4.254070281982422,3.706275224685669,1.6372369527816772,True,159.83229090662329,126.37378287783456,12.876963025666733,8,8,8,0,True,False,False,False,False,False,True
apdtsp,minimize,2.932021379470825,2.762094259262085,2.094641923904419,True,39.977212620929905,31.864746319673237,5.795562112831827,8,8,8,0,True,False,False,False,False,True,False
cvrpltw,minimize,53.84486389160156,46.8339958190918,23.951826637596405,True,124.80483307725277,95.5341299338648,13.020495486113177,8,8,8,0,False,True,False,False,False,False,False
cvrpbtw,minimize,30.456668853759766,28.387130737304688,20.63193178877529,True,47.61908465754806,37.58833165951324,6.795024519562983,9,8,10,0,False,True,False,False,False,False,False
cvrpbpl,minimize,52.24181365966797,41.12936019897461,15.336819648742676,True,240.6300318850707,168.17398353084516,21.27118620552881,10,8,8,0,False,False,False,True,False,False,False
ocvrptw,minimize,19.377361297607422,17.883472442626953,13.645712060799355,True,42.003298994367846,31.055619252011052,7.70945451259622,8,8,9,0,False,True,False,False,True,False,False
ocvrpbl,minimize,13.865439414978027,12.1898193359375,8.318098510488008,True,66.69001211629755,46.545743844795425,12.084868202809732,9,8,11,0,False,False,False,False,True,False,False
ocvrpbp,minimize,16.41386604309082,14.490742683410645,11.332929611206055,True,44.83338912526829,27.86404910767406,11.716455797990912,8,8,8,0,False,False,False,True,True,False,False
acvrptw,minimize,5.529571056365967,5.158006191253662,4.012589931488037,True,37.80553584540769,28.54555983349279,6.719596535151445,9,8,9,0,True,True,False,False,False,False,False
acvrpbl,minimize,4.4638671875,4.1376190185546875,2.1917500495910645,True,103.66679988591154,88.78151819030104,7.308644169765915,9,8,8,0,True,False,False,False,False,False,False
acvrpbp,minimize,4.4284348487854,3.9616804122924805,2.3657898902893066,True,87.18631214726588,67.4569846017905,10.539941365987083,8,8,8,0,True,False,False,True,False,False,False
aocvrpl,minimize,3.6137895584106445,3.241683006286621,1.8884999752044678,True,91.35767041878727,71.65385485036315,10.296851715064365,9,8,10,0,True,False,False,False,True,False,False
aocvrpb,minimize,3.4707369804382324,3.196989059448242,1.6071399450302124,True,115.95735898238698,98.92412414577515,7.887313920152643,8,8,8,0,True,False,False,False,True,False,False
mdcvrpl,minimize,34.15428161621094,29.955219268798828,12.089630126953125,True,182.5089043879511,147.77614330826725,12.294395164262722,8,8,8,0,False,False,True,False,False,False,False
mdcvrpb,minimize,16.58195686340332,14.59991455078125,9.88378620147705,True,67.76927915463492,47.71580701127886,11.953006083356021,8,8,19,7,False,False,True,False,False,False,False
mdocvrp,minimize,11.104016304016113,9.991442680358887,7.77411413192749,True,42.83320408704904,28.52194489048026,10.019560429273051,8,8,10,1,False,False,True,False,True,False,False
amdcvrp,minimize,3.3750956058502197,2.952723741531372,1.9274300336837769,True,75.10859262681561,53.194859991260756,12.514367403007181,8,8,10,0,True,False,True,False,False,False,False
apdcvrp,minimize,4.803036212921143,4.111804008483887,3.0491409301757812,True,57.5209648523609,34.851228678591895,14.391567620866585,8,8,9,0,True,False,False,False,False,True,False
