name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,srr_evaluations,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional,use_pheromone
op,maximize,20.849998474121094,28.719999313354492,,False,,,37.745810144790184,6,2,37,3,3,False,False,False,False,False,False,True,False
tsp,minimize,8.385296821594238,7.423080921173096,7.401462078094482,True,13.292437806464392,0.29208881772963274,11.475036851923903,9,7,100,11,13,False,False,False,False,False,False,False,False
aop,maximize,14.890000343322754,42.34999465942383,35.459999084472656,True,58.009022200333796,-19.43033207231014,184.419030778701,9,0,15,0,0,True,False,False,False,False,False,True,False
cvrp,minimize,20.06951332092285,14.7965087890625,14.08707460345019,True,42.4675731894502,5.036064659149002,26.273704038269546,8,11,26,14,60,False,False,False,False,False,False,False,False
atsp,minimize,2.0735347270965576,1.765470266342163,,False,,,14.856971370127866,10,7,25,17,9,True,False,False,False,False,False,False,False
cvrpl,minimize,40.352264404296875,15.679006576538086,15.626479440991986,True,158.2300418765039,0.3361418401659231,61.14466732412538,10,10,21,11,63,False,False,False,False,False,False,False,False
cvrpb,minimize,20.902843475341797,18.829912185668945,11.85424011142921,True,76.3322092251904,58.845375230034136,9.916982309694857,8,2,12,2,25,False,False,False,False,False,False,False,False
ocvrp,minimize,13.715575218200684,9.456527709960938,9.542573943339816,True,43.7303530435139,-0.9017088459548588,31.052634982366285,8,3,10,3,22,False,False,False,False,True,False,False,False
acvrp,minimize,3.193592071533203,2.2902302742004395,2.0503149032592773,True,55.76105243426356,11.701391359921411,28.286699650374292,9,8,22,11,50,True,False,False,False,False,False,False,False
pctsp,minimize,27.41425323486328,6.473782062530518,,False,,,76.38534229961196,9,144,95,190,333,False,False,False,False,False,False,True,False
pdtsp,minimize,13.876790046691895,13.597846984863281,,False,,,2.010141112534241,8,1,15,1,1981,False,False,False,False,False,True,False,False
cvrptw,minimize,32.86002731323242,23.648334503173828,22.168104392328274,True,48.231110480534845,6.677296735204015,28.03312584694393,10,5,17,5,34,False,True,False,False,False,False,False,False
cvrpbl,minimize,39.754371643066406,16.863706588745117,11.073374289478942,True,259.0086508756226,52.29058593971395,57.58024616725056,8,5,27,8,90,False,False,False,False,False,False,False,False
cvrpbp,minimize,20.373563766479492,15.340160369873047,15.517189979553223,True,31.29673473950788,-1.140861263627275,24.70556184621895,9,9,18,10,55,False,False,False,True,False,False,False,False
ocvrpl,minimize,15.406885147094727,11.254461288452148,10.812519663715992,True,42.49116418993652,4.087313951614788,26.951741503866533,8,7,17,7,39,False,False,False,False,True,False,False,False
ocvrpb,minimize,15.452154159545898,13.532081604003906,8.603693231115471,True,79.59908314330406,57.282241945410085,12.425921562242676,9,15,25,27,127,False,False,False,False,True,False,False,False
acvrpl,minimize,4.220799446105957,2.109818458557129,1.9813300371170044,True,113.02859024171268,6.484958034911012,50.013771431295694,9,7,19,10,46,True,False,False,False,False,False,False,False
acvrpb,minimize,2.787674903869629,2.4122908115386963,2.279710054397583,True,22.28199364617341,5.815685064219623,13.465848970045045,8,10,29,37,95,True,False,False,False,False,False,False,False
aocvrp,minimize,2.7852208614349365,1.5531131029129028,1.4667799472808838,True,89.88675612849617,5.885896912625743,44.23734489362025,9,18,54,46,135,True,False,False,False,True,False,False,False
mdcvrp,minimize,19.09787368774414,13.534046173095703,11.84113883972168,True,61.28409561147436,14.296828677450204,29.133230251800047,9,6,16,8,126,False,False,True,False,False,False,False,False
pdcvrp,minimize,39.68134689331055,21.803287506103516,23.626556396484375,True,67.95230852692151,-7.717031884731883,45.05406390381598,9,8,35,11,5713,False,False,False,False,False,True,False,False
spctsp,minimize,26.34110450744629,6.267726421356201,,False,,,76.20552919645266,9,19,33,28,39,False,False,False,False,False,False,True,False
apctsp,minimize,4.306363105773926,1.763062834739685,1.6372369527816772,True,163.02625887214336,7.685257881837369,59.059122711324804,9,13,41,20,21,True,False,False,False,False,False,True,False
apdtsp,minimize,2.932021379470825,2.7956035137176514,2.094641923904419,True,39.977212620929905,33.464506835929164,4.652690007935573,9,12,43,30,9026,True,False,False,False,False,True,False,False
cvrpltw,minimize,54.15854263305664,24.510772705078125,23.951826637596405,True,126.1144565402195,2.3336260567465903,54.7425548889908,8,5,18,7,41,False,True,False,False,False,False,False,False
cvrpbtw,minimize,30.456668853759766,25.317596435546875,20.63193178877529,True,47.61908465754806,22.710741266219188,16.873389676620825,9,12,31,19,77,False,True,False,False,False,False,False,False
cvrpbpl,minimize,49.067649841308594,15.313937187194824,15.336819648742676,True,219.9336692032575,-0.1491995216213388,68.79015555723136,9,11,33,14,101,False,False,False,True,False,False,False,False
ocvrptw,minimize,19.377361297607422,14.552712440490723,13.645712060799355,True,42.003298994367846,6.646779410632213,24.89837900536237,10,8,24,9,56,False,True,False,False,True,False,False,False
ocvrpbl,minimize,13.865439414978027,12.003067970275879,8.318098510488008,True,66.69001211629755,44.300622974609134,13.431752063265566,10,15,36,25,89,False,False,False,False,True,False,False,False
ocvrpbp,minimize,16.41386604309082,11.26528549194336,11.332929611206055,True,44.83338912526829,-0.5968811382699182,31.367263127596207,8,5,22,5,45,False,False,False,True,True,False,False,False
acvrptw,minimize,5.529571056365967,4.239600658416748,4.012589931488037,True,37.80553584540769,5.657461410329708,23.328579826533364,8,5,24,6,47,True,True,False,False,False,False,False,False
acvrpbl,minimize,4.4638671875,2.5731375217437744,2.1917500495910645,True,103.66679988591154,17.40104772548626,42.35631541750984,10,4,23,5,32,True,False,False,False,False,False,False,False
acvrpbp,minimize,4.4284348487854,2.491642951965332,2.3657898902893066,True,87.18631214726588,5.31970578590287,43.73535939794345,9,11,41,24,84,True,False,False,True,False,False,False,False
aocvrpl,minimize,3.6137895584106445,2.010633945465088,1.8884999752044678,True,91.35767041878727,6.467247649680095,44.36217402904416,9,16,42,29,99,True,False,False,False,True,False,False,False
aocvrpb,minimize,3.4707369804382324,1.7540260553359985,1.6071399450302124,True,115.95735898238698,9.139596757581982,49.462432180195734,8,5,20,7,46,True,False,False,False,True,False,False,False
mdcvrpl,minimize,34.15428161621094,12.590326309204102,12.089630126953125,True,182.5089043879511,4.141534331432553,63.136901982947144,9,5,26,6,161,False,False,True,False,False,False,False,False
mdcvrpb,minimize,16.58195686340332,12.860017776489258,9.88378620147705,True,67.76927915463492,30.11226178250834,22.44571685702819,9,30,40,70,653,False,False,True,False,False,False,False,False
mdocvrp,minimize,11.104016304016113,7.987401485443115,7.77411413192749,True,42.83320408704904,2.7435582999698407,28.06745535348122,8,18,41,44,447,False,False,True,False,True,False,False,False
amdcvrp,minimize,3.3750956058502197,2.1178083419799805,1.9274300336837769,True,75.10859262681561,9.877313571395659,37.25190070737319,8,11,34,21,270,True,False,True,False,False,False,False,False
apdcvrp,minimize,4.803036212921143,3.1162755489349365,3.0491409301757812,True,57.5209648523609,2.2017551925776355,35.11863307314814,9,6,31,12,5349,True,False,False,False,False,True,False,False
opdcvrp,minimize,38.646854400634766,21.578657150268555,22.051122665405273,True,75.26025766146398,-2.142591659870191,44.16451873010878,9,12,36,21,7092,False,False,False,False,True,True,False,False
aspctsp,minimize,4.3412346839904785,1.6674294471740723,,False,,,61.59089363854974,9,11,33,23,20,True,False,False,False,False,False,True,False
cvrpbltw,minimize,46.77707290649414,22.81725311279297,18.491065429363715,True,152.97121512648152,23.396097428541303,51.221289202075724,9,6,23,11,58,False,True,False,False,False,False,False,False
cvrpbptw,minimize,47.43738555908203,33.08304977416992,28.957300186157227,True,63.818399001710254,14.247701137500975,30.25954237514662,10,4,22,6,55,False,True,False,True,False,False,False,False
ocvrpltw,minimize,20.48570442199707,15.792777061462402,14.80633789869914,True,38.35767197908479,6.662276448857283,22.908303585086937,8,7,16,12,38,False,True,False,False,True,False,False,False
ocvrpbtw,minimize,19.30362892150879,13.636872291564941,11.315462161252785,True,70.59514358688463,20.515380611331054,29.355913610780952,9,14,27,16,71,False,True,False,False,True,False,False,False
ocvrpbpl,minimize,14.61569881439209,10.24382209777832,10.130979537963867,True,44.267380657740084,1.1138366175906058,29.912197645375528,10,14,34,20,148,False,False,False,True,True,False,False,False
acvrpltw,minimize,6.2747087478637695,4.346581935882568,3.934109926223755,True,59.49500307650762,10.48450646763534,30.72854676541973,9,12,19,17,62,True,True,False,False,False,False,False,False
acvrpbtw,minimize,5.564085960388184,4.131235599517822,3.8774900436401367,True,43.4971050284037,6.544067245095297,25.751765358607027,8,6,22,7,43,True,True,False,False,False,False,False,False
acvrpbpl,minimize,4.608817100524902,2.484774589538574,2.39411997795105,True,92.50568655582784,3.786552571400745,46.0865003895342,9,6,31,7,56,True,False,False,True,False,False,False,False
aocvrptw,minimize,3.520071506500244,2.274641752243042,2.197279930114746,True,60.20132247402903,3.5207995607667484,35.380808371573224,8,10,27,16,70,True,True,False,False,True,False,False,False
aocvrpbl,minimize,3.7070980072021484,2.017725706100464,1.85030996799469,True,100.35010735092074,9.047983365036618,45.57128777873077,8,20,33,44,119,True,False,False,False,True,False,False,False
aocvrpbp,minimize,3.5605762004852295,1.780722737312317,1.684209942817688,True,111.40928514697967,5.73044915844415,49.9877930692891,8,8,18,12,56,True,False,False,True,True,False,False,False
mdcvrptw,minimize,25.823040008544922,17.23016357421875,16.06063461303711,True,60.78468024908086,7.28195983135239,33.276006355110646,8,21,35,35,361,False,True,True,False,False,False,False,False
mdcvrpbl,minimize,49.61652755737305,14.393684387207031,11.144113540649414,True,345.2263284683089,29.15952744652538,70.99014160037058,9,13,27,16,245,False,False,True,False,False,False,False,False
mdcvrpbp,minimize,18.640111923217773,12.325613021850586,11.54989242553711,True,61.38775355174742,6.716258193005663,33.87586366100069,8,17,32,27,348,False,False,True,True,False,False,False,False
mdocvrpl,minimize,11.705099105834961,7.857438564300537,7.678080081939697,True,52.44825504448146,2.3359808760359906,32.8716613737715,9,5,17,5,117,False,False,True,False,True,False,False,False
mdocvrpb,minimize,12.465832710266113,9.559350967407227,7.40138578414917,True,68.4256580296487,29.156231632724257,23.3155843689871,9,26,46,45,491,False,False,True,False,True,False,False,False
amdcvrpl,minimize,4.4819207191467285,2.1613662242889404,2.0546700954437256,True,118.13335041403886,5.192859383207833,51.77589342320131,9,14,42,33,372,True,False,True,False,False,False,False,False
amdcvrpb,minimize,2.649064540863037,2.274834394454956,2.0909199714660645,True,26.69373180292622,8.795861415008561,14.126879154335773,9,27,53,93,723,True,False,True,False,False,False,False,False
amdocvrp,minimize,3.167039632797241,1.7149360179901123,1.6141999959945679,True,96.19871395464301,6.24061592401859,45.85050340922257,9,7,26,20,229,True,False,True,False,True,False,False,False
aopdcvrp,minimize,4.777169227600098,3.135331869125366,2.8953630924224854,True,64.99378748394376,8.288037425458247,34.3684152738198,8,8,35,11,5737,True,False,False,False,True,True,False,False
cvrpbpltw,minimize,56.909080505371094,27.392642974853516,24.263469696044922,True,134.54634155084418,12.896643876612032,51.86595402421202,8,8,13,9,57,False,True,False,True,False,False,False,False
ocvrpbltw,minimize,19.465042114257812,14.21514892578125,12.158860347542328,True,60.089363294581176,16.9118529160059,26.97088019465987,9,3,13,3,22,False,True,False,False,True,False,False,False
ocvrpbptw,minimize,23.452228546142578,16.188690185546875,15.587929725646973,True,50.45120781854949,3.8540105740370723,30.971633873960393,10,10,25,18,70,False,True,False,True,True,False,False,False
acvrpbltw,minimize,6.713021278381348,4.826859474182129,4.355629920959473,True,54.12285708843191,10.818861146928025,28.097062797542815,8,5,15,5,30,True,True,False,False,False,False,False,False
acvrpbptw,minimize,5.624093055725098,4.405874252319336,4.041339874267578,True,39.16407010297212,9.020136622827925,21.660715627129687,10,10,28,18,72,True,True,False,True,False,False,False,False
aocvrpltw,minimize,4.047970294952393,2.7260446548461914,2.6610701084136963,True,52.11813781807682,2.4416698465425783,32.65650545298154,8,10,25,18,74,True,True,False,False,True,False,False,False
aocvrpbtw,minimize,4.809196472167969,3.2649176120758057,3.206279993057251,True,49.993028761730365,1.828836506653387,32.11095385745402,10,7,18,9,42,True,True,False,False,True,False,False,False
aocvrpbpl,minimize,3.571753740310669,2.0549309253692627,2.011620044708252,True,77.55608220878936,2.1530348524287137,42.46717229753566,10,11,36,17,92,True,False,False,True,True,False,False,False
mdcvrpltw,minimize,39.349571228027344,15.959480285644531,15.039703369140625,True,161.63794765239305,6.11565862656015,59.44179367759631,10,21,42,41,408,False,True,True,False,False,False,False,False
mdcvrpbtw,minimize,30.30990982055664,20.652706146240234,16.96717071533203,True,78.63856225108715,21.721567447764556,31.8615387887652,8,18,26,23,278,False,True,True,False,False,False,False,False
mdcvrpbpl,minimize,45.218265533447266,12.33751106262207,11.554325103759766,True,291.35358514997375,6.778292559964898,72.7156472786507,9,8,18,9,137,False,False,True,True,False,False,False,False
mdocvrptw,minimize,15.792774200439453,11.396140098571777,10.90636920928955,True,44.80322367032912,4.49068686272845,27.839529939871703,9,6,17,7,124,False,True,True,False,True,False,False,False
mdocvrpbl,minimize,12.014026641845703,9.70438289642334,7.207280158996582,True,66.69293237961669,34.646949783264866,19.22455987718315,9,12,30,22,271,False,False,True,False,True,False,False,False
mdocvrpbp,minimize,15.283905982971191,9.375594139099121,9.020671844482422,True,69.43201400591614,3.934543909096868,38.657080529381105,8,7,26,8,232,False,False,True,True,True,False,False,False
amdcvrptw,minimize,4.503026962280273,3.388857841491699,3.354909896850586,True,34.22199405437028,1.0118884168240059,24.742670433054073,9,9,23,13,168,True,True,True,False,False,False,False,False
amdcvrpbl,minimize,3.9264402389526367,2.455819606781006,2.029139995574951,True,93.50267835217012,21.027608353121845,37.45429810906566,8,17,53,52,521,True,False,True,False,False,False,False,False
amdcvrpbp,minimize,3.7436881065368652,2.271926164627075,2.13319993019104,True,75.49635425881516,6.50319890192437,39.313155904733144,8,8,22,31,275,True,False,True,True,False,False,False,False
amdocvrpl,minimize,3.1179397106170654,1.5283265113830566,1.473230004310608,True,111.63971012632837,3.739844213818529,50.98280745522855,10,9,28,23,261,True,False,True,False,True,False,False,False
amdocvrpb,minimize,3.2034504413604736,1.6189888715744019,1.539430022239685,True,108.09328095991265,5.168071830830496,49.46109199408019,9,18,34,29,338,True,False,True,False,True,False,False,False
ocvrpbpltw,minimize,20.199501037597656,14.704469680786133,15.567480087280273,True,29.754468445423417,-5.54367438824785,27.20379749273773,10,17,22,22,73,False,True,False,True,True,False,False,False
acvrpbpltw,minimize,6.957699298858643,4.792568206787109,4.274040222167969,True,62.78974780750687,12.132033337676965,31.118491890368222,9,6,18,7,39,True,True,False,True,False,False,False,False
aocvrpbltw,minimize,4.277169227600098,2.7706665992736816,2.726140022277832,True,56.89470066274512,1.6333195152113036,35.221955180195394,9,12,29,18,83,True,True,False,False,True,False,False,False
aocvrpbptw,minimize,4.133709907531738,2.987027168273926,2.9010000228881836,True,42.492584450802276,2.9654307034473963,27.73979705659857,8,9,26,15,68,True,True,False,True,True,False,False,False
mdcvrpbltw,minimize,52.020694732666016,19.64485740661621,16.33831787109375,True,218.39688236634575,20.237943475028672,62.236457033934286,8,17,26,31,286,False,True,True,False,False,False,False,False
mdcvrpbptw,minimize,25.075786590576172,19.131610870361328,16.943025588989258,True,48.00064167330385,12.91732264628322,23.704842513090885,9,11,31,25,282,False,True,True,True,False,False,False,False
mdocvrpltw,minimize,14.791386604309082,10.199005126953125,9.88421630859375,True,49.64652879408187,3.1847625399060164,31.047673894333123,9,4,19,4,109,False,True,True,False,True,False,False,False
mdocvrpbtw,minimize,17.388416290283203,12.479166984558105,10.510350227355957,True,65.44088364463123,18.732170808902104,28.23287195205022,8,16,35,27,313,False,True,True,False,True,False,False,False
mdocvrpbpl,minimize,12.517395973205566,8.578267097473145,8.08454704284668,True,54.831135335913885,6.106960006662528,31.469235967004845,9,11,29,15,246,False,False,True,True,True,False,False,False
amdcvrpltw,minimize,5.9892897605896,4.214309215545654,3.8935599327087402,True,53.82554433733514,8.237943896596695,29.63591036659432,9,14,32,27,291,True,True,True,False,False,False,False,False
amdcvrpbtw,minimize,5.251316547393799,3.8585212230682373,3.578700065612793,True,46.7381018558368,7.819072633222467,26.522783605890194,10,8,16,13,146,True,True,True,False,False,False,False,False
amdcvrpbpl,minimize,4.766524791717529,2.4982409477233887,2.392819881439209,True,99.20115294472596,4.405725107097158,47.587790751358,8,7,24,7,169,True,False,True,True,False,False,False,False
amdocvrptw,minimize,3.3678359985351562,1.9739181995391846,1.9101699590682983,True,76.31080326369738,3.3373072468368195,41.389123449071086,9,10,23,12,173,True,True,True,False,True,False,False,False
amdocvrpbl,minimize,3.244565486907959,1.5830620527267456,1.5236300230026245,True,112.94969499970074,3.900686441384118,51.20881180809855,9,8,35,12,256,True,False,True,False,True,False,False,False
amdocvrpbp,minimize,3.6071197986602783,1.816680908203125,1.7706600427627563,True,103.71611215849761,2.5990796837863024,49.636246933693215,8,12,42,25,339,True,False,True,True,True,False,False,False
aocvrpbpltw,minimize,4.88510274887085,3.6543004512786865,3.575939893722534,True,36.61031488383,2.1913275917671933,25.195013510752723,8,5,16,7,34,True,True,False,True,True,False,False,False
mdcvrpbpltw,minimize,49.97146224975586,20.253053665161133,17.7119197845459,True,182.13464637163293,14.347026813165892,59.47076040333384,8,5,20,10,158,False,True,True,True,False,False,False,False
